Obesity_up,Obesity_down,Schizophrenia_up,Schizophrenia_down,PTSD_up,PTSD_down,MD_up,MD_down,Bipolar_up,BD_down
OR7E12P,ARIH1,PDGFD,CYP11A1,,,,,CRYGN,SGTA
TSSK2,LINC01619,LGALS17A,S100A3,,,,,LOC101929544,HOMEZ
BHLHA15,TXNL4A,TNFAIP3,GSC,,,,,OR51B2,FREM2
CCDC33,GS1-279B7.1,CRYBB2,HOXA13,,,,,TFAP2D,LOXL1
MIR6753,IRGQ,BCYRN1,PRDX4,,,,,ACTL7A,CHRM1
CTAGE8,MIR4296,LOC102723828,BGN,,,,,SNORA53,SIGLEC5
RTN1,SGMS1,HIST4H4,RNF212,,,,,LOC101927531,RIN1
TSHR,PRIM2,HSD3B1,WFIKKN2,,,,,LOC101929412,RBM42
CDH6,SPOPL,LINC02172,KIAA1462,,,,,CTD-2194D22.4,TRIL
SPRR2D,LMBRD2,BMS1P22,RGPD1,,,,,SENCR,SMOC1
SNORA24,CENPA,LINC00570,ADAMTS9-AS1,,,,,KLK6,MYT1
PRSS3,TRERF1,LILRB2,KCTD12,,,,,LOC101927766,GJA5
LGI1,CSNK1A1,SNORD108,CREM,,,,,LOC101927869,MRPL43
PRAME,ZNF440,TMC4,PLAC1,,,,,TCEB3B,HAPLN3
PLA2G4A,ARHGAP44,ALLC,NUPR1,,,,,FLJ37505,GPR6
GOLGA8M,GRM3,SERPINA10,HAL,,,,,TDRD1,CD24
TCTEX1D1,ZNF221,AQP12B,CHRDL2,,,,,TULP2,ZFPL1
LOC100506444,TBL1X,MROH9,CTSS,,,,,ADRB3,GALT
MIR450A1,LOC100131662,ANKRD20A4,SHOX,,,,,FLJ16171,LINGO3
CPSF4L,RPRD1A,PLEKHG2,NR5A2,,,,,NEDD4,TPPP3
B3GNT6,ALK,TXK,DKK1,,,,,LOC105377213,PICART1
CRYGN,ADPRH,LINC01572,FAM20A,,,,,TCF23,SLC10A4
CTAGE1,SPICE1,PI15,SERPINI1,,,,,LINC00866,CDH22
NRG3,RAB39B,LAG3,GABRE,,,,,LOC101928067,BRD9P2
PCSK1N,DPP4,UBR1,MECOM,,,,,TSHR,NHP2
PRRC2A,RNF6,LOC643770,FAM198A,,,,,GLI1,NGEF
GKN2,MS4A3,TOP2A,OMD,,,,,GREM1,CRABP1
CYP21A2,P4HA3,ODF3,HNMT,,,,,LOC101060385,ADH7
ALKAL2,LOC389906,KCCAT198,TFPI,,,,,LOC254028,PPP2R3B
SELL,WSB1,GUSBP1,SAMSN1,,,,,LOC102723727,HIPK1-AS1
RNVU1-1,PPOX,ADGRG3,TBX3,,,,,DSPP,HTR1D
CRYBG2,PTPN9,TNNC1,ETS1,,,,,ANPEP,ACBD4
LENG1,SIGLEC6,SERPINI2,SAMD11,,,,,BSND,FAAH
MIR145,HSPG2,SELP,DMKN,,,,,ADAMTS5,RASGRP2
SNORA2B,SMC5,HCP5,TGFBR2,,,,,TTTY7,NRBP2
LINC01737,AGAP6,BEND2,C1RL-AS1,,,,,LOC151121,RABGGTA
GRHL2,IL15,C16orf71,RET,,,,,CPA1,TGM2
LOC101928161,KIT,PIF1,TIMP1,,,,,LOC105378470,PLPP3
IFITM4P,AMACR,GPC6,NBL1,,,,,USP41,NAIP
LENG8-AS1,SEMG1,FGL2,SH3TC1,,,,,LPAR3,PLA2G6
IL10RA,STK38,FGF10,PLOD1,,,,,PLA2G4D,HIST2H4B
TMEM31,FSD1L,BPI,FNDC1,,,,,LOC100289650,LOC101928739
TNFSF12-TNFSF13,PTAR1,HSH2D,TMC5,,,,,ALPP,MUC6
CTAGE11P,ALAS2,SULT1C2P1,CAV2,,,,,PRDM13,CPT1C
TDRD9,TCP11L2,PAX9,SLPI,,,,,LOC101927751,MYH7
TDO2,HBD,GCC2-AS1,KLHL15,,,,,NXF5,TUBA8
MIR4740,AVPI1,LOC101929124,SLC16A5,,,,,RAB44,NDUFV1
AVPR1A,ALPL,ARG1,EMP1,,,,,FCRL6,ATP1A2
CTAGE4,TNFAIP3,GJB7,COL5A1,,,,,IL17RE,PDE4A
SAPCD1,MMP9,CFB,LIMS1,,,,,PTPRB,LRRTM1
TRIM27,CD83,SIX2,SLC7A10,,,,,MME,DGAT2L6
MEI4,S100P,XDH,RGS2,,,,,SMCO1,FLT4
RASIP1,MME,LTF,TMEM204,,,,,HRC,MCM2
GALNT13,RPL14,ADAM20P1,KDELR3,,,,,SPANXN1,INTS9-AS1
CMPK2,G0S2,KLLN,FAM114A1,,,,,TAT,LOC101928737
CRYM,SLC25A24,LRRN4CL,PTGFR,,,,,GFRA4,FRAT1
GNG8,CA4,AOX1,RRBP1,,,,,CHRNA1,TNFRSF8
AOC4P,,CXCL2,TRIL,,,,,AADACL2,JUP
LOC101929457,,ADAM12,KRT81,,,,,LOC101929181,POU3F4
FAM163B,,NRAP,CRISPLD2,,,,,FLT1,CCDC106
HCG23,,PDE6C,OXER1,,,,,IL5RA,POLD2
IL13RA2,,TNXB,VIT,,,,,LOC284379,ADGRF1
RPRM,,KIAA0087,SEMA3C,,,,,TAS2R38,PRRT3
MUC3A,,DLX4,MATN1,,,,,LINC00885,SART1
GSTT2,,CPLX4,STAT5A,,,,,PDCL2,TMEM25
MGAM,,DIO1,NABP1,,,,,VSIG1,PPP2R5B
LOC102724804,,LTC4S,CA9,,,,,NXPE1,TPCN1
SLCO1C1,,NKX6-2,C1S,,,,,DUX4,HRH3
MAGEC3,,POU5F1,SDC1,,,,,FAM135B,TMEM94
SOST,,XCR1,FCGR1A,,,,,LINC00521,CCDC88C
XXYLT1-AS2,,MYO3A,MROH7,,,,,LOC642929,RASD2
NFE2,,HLA-B,PLCL2,,,,,SLC34A2,CST3
LINC01146,,PAX8,KIAA1683,,,,,NLRP10,EEF2
MIR412,,LIN28A,FOSL2,,,,,HMGB4,PACSIN1
LTA,,PAUPAR,CHSY1,,,,,SEC14L3,C9orf24
RBM11,,CNTNAP2,SLC14A1,,,,,MGAM2,PLK3
LOC101928894,,BEND4,KCNJ16,,,,,CCDC155,S100A1
RXFP3,,PRDM12,KAZALD1,,,,,CRAT37,ALDOC
ECSCR,,NCCRP1,EMILIN2,,,,,LINC01021,INCA1
ZNF890P,,ATP10B,THBS1,,,,,MTRNR2L6,LRRC56
IL1RAPL2,,ELMOD1,CTSK,,,,,LOC100506497,TMEM63A
MX1,,PGAM1P5,STAT6,,,,,KCNQ1DN,TMC4
HPGD,,RIPOR2,ADAM33,,,,,TMEM239,GLRA1
SCG5,,GVQW2,FGF16,,,,,SLC36A2,ADAMTSL5
FOLR3,,RBP2,TNFSF12,,,,,CYP3A4,SLC38A5
LOC100506474,,DNAH8,MMP19,,,,,PRKG2,SMARCB1
TPBGL,,TAC3,PKDCC,,,,,MIR7515HG,HSD11B2
CD93,,PODXL,CTAGE8,,,,,CLLU1OS,CHRM4
TMEM5-AS1,,CHN2,MAT1A,,,,,NPBWR1,ARSA
NELL1,,SKOR1,SLC12A4,,,,,CT47A12,IGSF3
LOC101927855,,KCNG1,TRPS1,,,,,CYP11A1,RBM10
CXCL3,,LMO1,SULF2,,,,,FLJ41941,SLC48A1
MIR1273G,,SNORD72,ANXA1,,,,,ANP32D,DBN1
PAQR9,,CYP26A1,MIR503HG,,,,,SPDYC,LTB4R2
ZNF385B,,F2RL1,TBX18,,,,,PRB4,TMEM120B
LOC105375451,,ASGR2,B3GNT3,,,,,OR7E2P,SNORD115-21
ACHE,,ALOX15,GPNMB,,,,,FSHR,TMEM72
PMCHL2,,OCLN,GAPT,,,,,LINC00570,TEKT4
LINC00911,,TMEM155,IL1RN,,,,,ADCY10,LOC400002
LINC01800,,LINC01028,ZDHHC19,,,,,LOC152274,G6PD
BCL2L10,,PIMREG,HOXD8,,,,,ADAM5,LRRC20
EPHA3,,SACS-AS1,PTGES,,,,,LOC440704,RGS14
GPR21,,DPT,KANK4,,,,,GPR65,SPTBN2
LINC02380,,ATP6V1G2,ENG,,,,,SULT1B1,GRIN1
CXorf58,,SPAG6,MFAP2,,,,,MIR603,FAM95B1
B4GALT4-AS1,,PPP2R2B,P4HA3,,,,,HNF1A-AS1,PFKL
LINC01315,,VGLL3,SYNE3,,,,,WFDC10B,SEMA4A
LOC388436,,MEGF11,FZD8,,,,,KLHL33,ADAM15
FCAMR,,MAP7,SEMA3F,,,,,GALR1,PGAP3
DHRS7C,,CALB1,S100A11,,,,,HTR2A-AS1,AP1G2
GRAPL,,AFDN,SLC8A1,,,,,SDR9C7,LOC101928495
LOC554223,,CCNB3,TREML3P,,,,,LINC00642,NECTIN1
NLRP14,,FOXD4L3,FKBP14,,,,,IL17B,HHATL
TSPEAR-AS1,,EXOC6,NFIC,,,,,EXOC3L4,DGCR2
GJD3,,OR2L13,IL11RA,,,,,LRRC38,CDKN1C
LENG8,,GBP7,PMP22,,,,,VDR,FAM225B
MIR377,,RASGEF1C,EFEMP2,,,,,CRHBP,NHLRC1
FAM216B,,PSRC1,ACTRT3,,,,,THBD,CCDC22
SLC18A1,,LMO3,G0S2,,,,,LOC221122,ANO9
MICB,,ZNF730,GPR4,,,,,AQP3,IZUMO4
LOC102724957,,LRRC10B,PLXDC1,,,,,CLCA4,HES4
LTC4S,,VIPR1,FAM129B,,,,,NMS,ADARB2-AS1
HRASLS,,IMPG1,RAC2,,,,,C14orf39,TMEM63C
XRN2,,PRR23D1,GPRC5C,,,,,ADAMDEC1,ERBB2
C10orf10,,PRR23D2,STARD8,,,,,RNASE7,TTN
LAMC2,,HIST1H4D,LDLRAD4,,,,,NMRAL1P1,TMEM259
GAS7,,WBSCR17,CDH11,,,,,LOC100505685,GBX2
PTGDS,,ZEB2,EHD2,,,,,TP63,GABRD
CCND2,,CCKBR,FZD4,,,,,MIR548AI,ANP32AP1
HNF4A,,KRTAP5-2,SLC40A1,,,,,SBK3,RTL8B
TUSC7,,ANGPT2,IL21-AS1,,,,,LINC01206,PRIMA1
RNF145,,PCP4L1,MYZAP,,,,,NCMAP,ALDH1L1
ANKRD40,,GAD2,MTMR11,,,,,PTF1A,APOE
PI15,,P2RY2,TXNDC5,,,,,LOC105378052,LINC01467
DNPEP,,HCG27,C15orf48,,,,,LCK,TADA2A
MBD2,,LOC401286,EGFL7,,,,,KCNJ1,SHF
LOC440173,,LOC101928402,FLRT2,,,,,RPEL1,FOXF2
C1orf111,,PNMA5,INPP4B,,,,,GRM7-AS2,H2AFJ
CFAP99,,FRAS1,EPYC,,,,,FEZF1-AS1,FAM110A
DIO3,,CALCR,PPARG,,,,,CYP2B7P,NINJ2
ZFP64,,NPIPB15,PTGS2,,,,,TRAF3IP3,SLC52A3
PRO2949,,DUSP26,TINAGL1,,,,,NPAS4,CSTF3-AS1
DISC1,,LINC01314,AHR,,,,,MUC15,LOXHD1
NAALADL2-AS3,,SLCO4A1-AS1,CTLA4,,,,,BTG4,SELENBP1
GRIK5,,RNU5B-1,LINC01139,,,,,MIR133A2,MIR1302-10
RNF187,,GAD1,PRKD1,,,,,VIP,MS4A5
LOC101929172,,GRIA1,LOC401463,,,,,CLEC2B,ARMC5
GPR4,,ABCC8,TLL1,,,,,OR4F13P,FRS3
LRRD1,,MSC-AS1,CCDC80,,,,,DEUP1,CSPG4
GPR39,,SLC17A8,ANO9,,,,,NEUROD4,HIST1H2BF
RBMS2,,MIR568,EPAS1,,,,,LOC101929567,PRR3
LOC100507388,,RN7SL1,LY75,,,,,ADIPOQ-AS1,B4GALT3
NUDT3,,IL21R-AS1,SELENOP,,,,,XCL1,CSPG5
CHDH,,SLC27A2,SCARF1,,,,,TCAF2,PHYHIP
RECQL5,,VSTM2A,CNGA1,,,,,HEMGN,KNCN
SLC6A14,,RAET1K,MIR22HG,,,,,FXYD3,LZTS2
DYRK1B,,LHX1,ADRB2,,,,,CYP4F35P,WNT1
TEX26-AS1,,SLC1A6,B4GALT1,,,,,PGAM1P5,C11orf24
NPAS3,,GLB1L2,POSTN,,,,,IL20RA,C6orf47
C5orf24,,FAM167A,SMAD7,,,,,C1orf168,LINC00618
GGT1,,STK32A,NYNRIN,,,,,DNAJB5-AS1,SMPDL3B
CDK2,,LOC442028,FCGR2A,,,,,ST14,LILRB1
FBXO27,,DMBX1,LINGO4,,,,,LRRC72,CITED4
LOC105375483,,TSPAN33,SLFN12,,,,,DNAJB8-AS1,FXYD5
C2orf40,,NRCAM,CD44,,,,,LOC442497,FAM27C
TONSL,,LOC441178,HCLS1,,,,,LOC100507391,HIST1H2BK
ARHGAP28,,ABR,ALS2CL,,,,,SLC44A4,PABPC1L2B
LOC105373418,,TCP10L2,CD109,,,,,RNU6-8,SLC6A11
FTHL17,,LOC100506289,PRDM11,,,,,BLNK,C6orf141
FLJ12120,,SLC35F1,DCAF12L1,,,,,HCG9,BET1L
IGLC1,,SYT7,ADGRL4,,,,,FAP,KCNH2
C17orf51,,RASA3,LCP1,,,,,PAX5,SLC25A11
ZRANB2,,LOC101927661,B3GNT9,,,,,LINC00303,SLC35C2
PRSS33,,LOC105370105,SULT1C2,,,,,C1QTNF7,SCRT1
GPD1,,GDPD2,UBA7,,,,,DDX4,SEMA4C
LOC101929260,,VWF,CYBRD1,,,,,LOC101928651,SULF2
PLPPR1,,PRTG,LRRK1,,,,,C4orf17,PNCK
PCDHB14,,LOC102723548,FKBP9,,,,,ZNF733P,SOX10
RUNX1,,DNAAF4-CCPG1,TMC6,,,,,CELP,MMP17
ACBD3,,WDR11-AS1,PRSS3,,,,,LINC01506,CNTN2
SCARF2,,SH2D5,GATA6,,,,,LYZL2,SLC16A5
WWC1,,SLCO1A2,TGFB3,,,,,ACSM4,CCDC74A
C18orf8,,LINC01670,COPZ2,,,,,LINC01570,MYO1A
EMID1,,LINC01465,FGF10-AS1,,,,,RNU6-7,MRPL55
PDZRN3,,CACNA1S,ELK3,,,,,GP2,ZIC1
NDEL1,,GAS2L3,FER1L4,,,,,LOC102725072,SLC27A4
MYH13,,KIRREL2,NFKBIZ,,,,,LINC00562,NPEPL1
UTS2R,,DGKI,CD86,,,,,NANOG,FCGBP
NUMA1,,RHCG,SLC16A3,,,,,HYMAI,LMF1
GPLD1,,SKOR2,ZCCHC24,,,,,OR51Q1,SLC43A2
FBXL8,,LOC105370941,FSTL1,,,,,DMBT1,SP2
PROM2,,PLA2G16,SPR,,,,,MS4A3,MDGA1
GLI3,,ISL2,CTAGE4,,,,,LOC105372978,LINC01115
SRRM3,,CACNA2D3,IGFBP4,,,,,TSPEAR,KCNA5
TBX2,,GNG11,SPARC,,,,,KRT17,MAP2K2
LOC101928273,,MIR302B,LOC105376609,,,,,SLC6A7,SLC7A4
ERC2-IT1,,PABPC1L2B-AS1,HAND1,,,,,CD27-AS1,SNAPC2
ALS2,,LINC00565,FXYD1,,,,,LINC00939,NPPC
MTNR1B,,PP12613,BMPER,,,,,TFDP3,LRRC4B
C11orf88,,RRAGD,MCTP2,,,,,MYPN,COL11A2
ARPP21,,ITLN2,MBNL2,,,,,SLC22A14,ATF6B
LINC00957,,LINC01821,TNFAIP8L3,,,,,UGT2B28,ADAMTSL2
ZSCAN12,,NYX,WWTR1,,,,,C11orf91,RAB26
AP1S3,,TTC9,HSD11B1,,,,,SLC30A8,FAM160A2
PEX5L,,SLC8A2,ITGA5,,,,,LINC01524,LOC285556
ANKRD13D,,SP8,GDF15,,,,,FAM83F,MRM1
MYRF,,AKAP3,RSPO4,,,,,HHATL,ANKRD63
LINC00052,,LINC02115,APOBEC3C,,,,,OR7E47P,SPEF1
LOC100128185,,CTNNA2,RAPGEF3,,,,,RGPD4,ACE
ZMYND10,,NPHS1,PIEZO1,,,,,BTBD16,ZNF784
LRRC43,,C2orf80,CD164,,,,,LVCAT5,FZR1
ANKRD65,,LOC100996720,ABI3BP,,,,,POU2F3,DNASE1L3
GLP1R,,TMEM114,ISM1,,,,,LOC100506122,LOC100268168
LINC00556,,AACSP1,TMEM119,,,,,GNAT1,C1QL2
KIAA1161,,MYB,LOC283299,,,,,LINC00923,GIMAP1-GIMAP5
RBMY3AP,,CRYBB1,NEAT1,,,,,CDA,DHRS11
NFAT5,,MIR3122,ACOT1,,,,,SH2D2A,IGFBP6
DENND6B,,VSTM2A-OT1,P4HA1,,,,,LOC158434,ARHGAP6
PRLR,,FOXN4,ACPP,,,,,NR1I2,ZBTB45
SLC22A5,,SYT9,SLC51B,,,,,LINC01492,ALKBH4
IFT81,,CRH,CSF3R,,,,,LOC101927630,VARS
SCLT1,,FOXB1,DHRS3,,,,,TFF2,FTCD
ADAM30,,ANKRD18DP,TSPYL5,,,,,TTC24,TELO2
PRR7,,WNT1,LOXL1,,,,,BMP5,SPATA13
ARHGAP42,,CERS6-AS1,TREML4,,,,,OR2B11,CORO7
SMC5-AS1,,PRDM13,HAAO,,,,,CLCA3P,LOC102724788
MTSS1L,,PREX1,DSC3,,,,,LINC00639,TBC1D16
KIRREL3-AS2,,FAM86B2,IQCA1,,,,,GACAT1,CNP
PRORY,,LOC102724770,KCNJ2,,,,,CTB-7E3.1,DPM3
JAKMIP1,,VCX,CREB5,,,,,GTSF1L,ELOA3C
BCL6B,,C4orf48,SHE,,,,,LOC284661,PRB2
RNASE7,,LINC01524,RNASE4,,,,,LEXM,TRIM7
VSX1,,SMYD1,HSPG2,,,,,LINC01450,TST
NPSR1-AS1,,HOTAIRM1,ADD3,,,,,PMCH,SNORA80B
TIGIT,,AKNAD1,FLG,,,,,MEOX1,UPK3B
ITGB3,,SYTL2,SELENBP1,,,,,TNXB,SSC5D
OTUB2,,PRODH2,LINC00677,,,,,SCN5A,SLC9A1
UBE2U,,RGS8,ARHGAP26,,,,,LINC00466,TRAPPC6A
GARNL3,,ACSL6,OR2A7,,,,,LOC102723548,TCTEX1D4
AKR1C1,,HMCN2,RDH10,,,,,ADAMTS4,TSPAN8
ARTN,,FMN2,ANGPTL4,,,,,LOC101927311,PIK3R6
EGOT,,PLPPR4,FOXO1,,,,,DAZ1,SAPCD2
SLC7A2,,APOBEC2,EYA1,,,,,IL18R1,NTN1
FAM76A,,KRT23,PHLDB2,,,,,SLC9A4,SCRN2
CDKL1,,EN1,FCGRT,,,,,HTN1,PARD6A
SVOP,,RIMKLA,LINC01914,,,,,CDH26,CBSL
STON2,,SPATA42,GPR20,,,,,MICA,TSPOAP1
GINS4,,B3GAT1,SLC39A8,,,,,OR2H1,LOC100506384
LINC00476,,NUP62CL,ITGA9,,,,,GOLGA8DP,LST1
INF2,,IRX4,COL23A1,,,,,BEND2,FOXD2-AS1
SP4,,LINC00551,SLC26A9,,,,,ACOXL,BGLAP
LOC101928012,,TRIM71,CD1D,,,,,RXFP2,ZIC4
PRR35,,CNR1,MIR4313,,,,,TCP11,PHLDB3
SYT16,,MIR29B2,PARVB,,,,,CD300A,GPRC5C
LRCH2,,ZBTB20-AS1,PEAR1,,,,,SH3RF2,FXYD7
AGMAT,,ZNF385B,PRLR,,,,,CD200R1L,SLC45A1
TTLL10,,AIF1L,RASSF3,,,,,FAM3D-AS1,MCM5
EFS,,ACTA1,CXCL1,,,,,LINC00836,HIPK4
SYNE1,,HCG2040054,NIPAL2,,,,,TNFSF12-TNFSF13,LTBP4
NOVA2,,GBX2,IFIT2,,,,,FGF14-IT1,DAGLA
KLK8,,NUP210,ITPRIPL2,,,,,LOC101929353,MT1X
AP3B2,,HS3ST5,CHI3L1,,,,,AQP9,TSPAN9
OLFML2A,,ARPP21,PLB1,,,,,SP140,SLC4A3
FAM170B-AS1,,RNU6ATAC,SYNPO,,,,,CD3G,NDUFA4L2
HS1BP3,,MIR548X2,NR3C1,,,,,ANKRD18A,C7orf13
LOC100507520,,GPR158,TLR5,,,,,LOC101927123,GML
LOC101928417,,RMST,CBFB,,,,,LOC107984178,NANOGNB
MTSS1,,TMEFF2,NCOA7,,,,,LINC00582,IER3
LTK,,CECR6,TMEM56,,,,,EGFL8,HTR6
RBBP9,,DMP1,SMIM24,,,,,LOC100652999,EPHA10
OR1F1,,LOC285556,CD248,,,,,FSTL4,DLG4
IBSP,,TUNAR,GOLIM4,,,,,SNORA81,MAP1S
TJP2,,LOC105369911,RAB3IL1,,,,,PROZ,KRTAP5-8
CFAP70,,LINC01979,VCAN,,,,,FAM71A,UNC5B
LOC101928580,,PRKCB,SOCS3,,,,,LOC105376672,IGSF9B
ZNF646,,WNT8A,FES,,,,,TLR6,HBB
UNC5B,,LILRA2,PGM5,,,,,FAM153B,IRX6
MFSD4A,,LINC02170,BCL3,,,,,OR51E2,CHODL
LOC101928535,,NKX6-1,TCEA3,,,,,CSMD1,HOXD3
LOC100288123,,KCNN2,EPGN,,,,,LINC01192,VSX1
MIR646HG,,SVOP,SNHG8,,,,,DUXAP8,DISP3
SEC16B,,GREB1,COL1A2,,,,,CENPM,NEUROG2
OLFM3,,GUCY1B2,SLC10A6,,,,,LINC01482,CARD10
ATP8B3,,LYPD1,ADAMTS17,,,,,LINC01511,ETHE1
DPP6,,APOF,BARX2,,,,,NOS3,MXRA8
PVR,,DPYSL3,PLEKHG4,,,,,C9,CPT1B
ERN1,,LOC101927620,PGM1,,,,,CHP2,FGFR3
FAM135B,,APLNR,DDR2,,,,,LOC105376064,NPIPB8
LINC01204,,LOC102723471,RASL11B,,,,,LOC100288748,CSNK1A1L
SH3RF2,,RNF165,ADAMTS2,,,,,CT62,ATG9B
IGF2BP1,,FZD3,PLAGL1,,,,,LOC101928446,PNPLA5
OR4D1,,KIT,FKBP10,,,,,PKHD1,LINC00403
PDE8A,,LINC02397,KIF26B,,,,,CMYA5,KCTD17
TAAR2,,LOC102724596,AMOT,,,,,TNIP3,MIR760
ZNF709,,WNT9B,APOD,,,,,CD22,SLC2A4RG
ZNF697,,HTR3A,LINC00922,,,,,LOC105369738,LINC01123
LZTS3,,NAT16,NGF,,,,,LINC00364,LOC105371795
KCNJ11,,SYT3,CBLC,,,,,PATE4,FAM234A
CAGE1,,SALL1,PDE7B,,,,,LOC100132146,PLCXD1
PCDH10,,NPTX1,ABI3,,,,,LINC01594,DUOX1
PLOD2,,MAPK10,C17orf107,,,,,CCR3,INHBE
CPED1,,NEFM,SEC24D,,,,,LOC102724190,PEX16
TOX3,,SMTNL1,LRRC61,,,,,SEMG1,SLC6A14
LINC00518,,BCL6B,PPIB,,,,,ALOX15B,PDGFB
UGT2B15,,SYCE3,CDKN1C,,,,,LOC100132686,XYLT2
GLYATL1,,ITGA6,TMEM154,,,,,LOC101927908,ANKRD13B
XAGE1E,,CDX1,GPX7,,,,,PGC,LINC01119
TNK2,,LOC101927497,CARMIL1,,,,,FBXO15,TMEM229A
ERICH3,,CCDC173,RAMP2,,,,,ANO1,DES
ZNF654,,P2RX5,LHFPL2,,,,,TAAR3,LOC101929657
CACNA1F,,WNT3,LOC100506314,,,,,CYP4A11,SLC45A3
CNTNAP5,,FGF8,AHRR,,,,,CD84,AP2A2
LOC729296,,MIR3681HG,WNT5B,,,,,KIAA1328,CHADL
LOC101928389,,ABCD2,RFLNA,,,,,APOA2,C4B
LOC101929683,,COBL,SCARA3,,,,,SVOPL,FLNC
RABGAP1L,,TFAP2B,CD83,,,,,LOC102723330,LLGL1
SIRT5,,KLHL40,CDKN1A,,,,,C9orf152,MGC16275
ASB14,,DISP2,PLOD2,,,,,LOC101927877,AQP1
IL22RA2,,CAHM,TRIM22,,,,,ADGRF4,HAPLN2
APOL5,,VAT1L,LRP1,,,,,C1QTNF9,RHOG
RGS12,,NGB,MYOD1,,,,,LINC01618,SLC6A9
PDE4C,,FUT9,IL18R1,,,,,ACER1,SIRT2
ENHO,,KIF17,TCIRG1,,,,,RP1L1,BIN1
MAGI1,,CBFA2T3,PYCARD,,,,,KERA,NDRG1
GPR153,,WTH3DI,ATP10A,,,,,MGC15885,TRIM26
COL13A1,,CDH4,EGFL6,,,,,LOC101927901,TBCB
DLGAP3,,ZNF804A,LINC00968,,,,,TULP1,MT1M
URGCP,,LOC101927987,DNAJC3,,,,,KEL,AGPAT4
TVP23C,,LOC105371795,KCNQ1OT1,,,,,ACAN,C1QC
CYP46A1,,PKHD1,SSR1,,,,,LOC100128164,APLNR
TRIL,,NPY5R,SPACA6,,,,,RNU4-2,EFS
MIER2,,GRIN2A,HSPA12B,,,,,OR52I2,CPAMD8
CFAP54,,KIAA1257,ALDH1L2,,,,,LINC01136,SEMA4D
PAX3,,C10orf128,COL27A1,,,,,LOC101928441,NPTX2
GHRH,,DAO,GATA4,,,,,MAJIN,TRPM1
IZUMO4,,LOC100133920,ROR2,,,,,CSMD2-AS1,SHISA4
SAMD4B,,MIR3942,SMTN,,,,,LOC105377652,DBNDD2
SMTNL2,,SLC24A2,KCTD14,,,,,DSG2-AS1,HOXD1
CYP2B6,,HOXA2,ABCA5,,,,,DPEP2,C1QA
MROH2B,,DQX1,BMP1,,,,,BPI,ABR
LINC00565,,CACNG2,TNS1,,,,,TMED11P,TJAP1
PRIMA1,,GREB1L,WT1,,,,,CISTR,SNX22
NKX6-3,,RNU4-2,IKBKE,,,,,COL6A4P1,DYSF
MEIOC,,ITGB8,LOC101929532,,,,,CALR3,FOLR1
ALPK2,,PLSCR5,ETS2,,,,,CLCA2,COMMD3-BMI1
SYPL2,,LOC100132813,HLA-DOB,,,,,LINGO1-AS1,MFRP
GS1-24F4.2,,FAM78B,MMP28,,,,,LOC102724927,PCBP4
GP2,,4-Mar,LINC01121,,,,,APOL3,CDK18
LINC00504,,MSC,P4HB,,,,,PLA2G2C,EEF1D
KLHL40,,FOXD4L4,VANGL1,,,,,SNTG2,FAHD2CP
SUGT1P1,,GATA5,CALD1,,,,,MCOLN2,LRP5
GAMT,,ALMS1-IT1,SERPINB4,,,,,MLKL,CDC42EP2
OFCC1,,LINC02237,CDK15,,,,,SAG,STMN4
LINC00659,,LOC105369192,C3,,,,,CYTH4,SSTR1
LMF1,,FGF14,PLAC9,,,,,NAMA,ZDHHC9
MTUS2-AS1,,GNG4,SULT1C4,,,,,RPL23AP87,PACSIN3
LOC101928921,,PRR36,DISP1,,,,,SPATA31A7,IP6K3
CFAP52,,DNER,PTPN14,,,,,CD163,ZEB2-AS1
NBEAL2,,LINC00640,NFIX,,,,,ACOD1,COLGALT2
MKL2,,SLC32A1,FAT4,,,,,LOC102724913,ST3GAL4
NDUFA6-AS1,,GPR22,DSG2,,,,,RETN,PLIN3
ZNF681,,RTL1,TSC22D3,,,,,GSTA1,PHLDB1
AGR2,,NRXN3,LOC100288570,,,,,IL1RL2,SLC24A4
CAPN6,,TMEM178B,FUT4,,,,,P3H2-AS1,SUN2
LURAP1L-AS1,,FA2H,PRR15,,,,,LOC102724908,PPP1R14A
THEM5,,CHRM4,KERA,,,,,LOC338694,CYP27A1
RIMS4,,CXCL3,CDRT15L2,,,,,INSRR,DHCR7
TMEM105,,CH25H,C2CD4B,,,,,SLC6A12,ETS2
NAT16,,NR6A1,LOC105375451,,,,,LINC01564,GMPR
FAM71A,,LINC00566,CYCSP52,,,,,S100A14,PSKH1
SLC4A7,,ZNF536,SPAG4,,,,,DCAF8L2,SLC4A2
RIMKLA,,LOC101927188,BTBD19,,,,,FAM167A-AS1,SEMA3B
DIRAS3,,LINC00634,IGFBP5,,,,,CXorf36,TSC22D4
ARHGAP22-IT1,,SNORA13,GATA6-AS1,,,,,RUFY4,HIP1R
LRRC28,,GOLGA6L2,PLA2R1,,,,,RGS13,CES4A
FDXR,,LOC107984895,LINC02104,,,,,FAM183BP,SH3TC2
PATJ,,SYPL2,METTL7B,,,,,FOXD3,CDR2L
ZNF234,,GPR19,CASTOR1,,,,,LOC101928241,APOD
GIGYF1,,LOC102724788,SEMA3E,,,,,LRRC74B,GREM1
BAHCC1,,ARHGAP40,IQGAP2,,,,,LOC646268,LOC100505635
KCNE1,,SAPCD2,CAVIN1,,,,,TXNIP,TRAF1
